"Timestamp","Unique ID","I was interested in the simulation environment and its possibilities","I thought it was fun","I was fully occupied with the simulation","I felt happy","It gave me a bad mood","I thought about other things","I found it tiresome","I felt competent","I thought it was hard","It was aesthetically pleasing","I forgot everything around me","I felt good","I was good at it","I felt bored ","I felt successful ","I felt imaginative","I felt that I could explore things","I enjoyed it ","I was fast in understanding the simulation's mechanics","I felt annoyed","I felt pressured","I felt irritable","I lost track of time","I felt challenged ","I found it impressive ","I was deeply concentrated in the simulation ","It felt like a rich experience ","I lost connection with the outside world","I felt time pressure","I had to put a lot of effort into it","To what extend did the simulation hold your attention?","To what extend did you feel you were focused on the simulation?","How much attention did you put into fulfilling the tasks?","Did you feel you were trying your best?","To what extend did you lose track of time?","To what extend did you feel consciously aware of being in the real world whilst the simulation?","To what extend did you forget about your everyday concerns?","To what extend were you aware of yourself in your surroundings?","To what extent did you notice events taking place around you?","Did you feel the urge at any point to stop the simulation and see what was happening around you?","To what extent did you feel that you were interacting with the virtual environment?","To what extent did you feel as though you were separated from your real-world environment?","To what extent did you feel that the simulation was something you were experiencing, rather than something you were just doing?","To what extent was your sense of being in the game environment stronger than your sense of being in the real world?","At any point, did you find yourself become so involved that you were unaware you were even using controls?","To what extent did you feel as though you were moving through the simulation according to your own will?","To what extent did you find the tasks challenging?","Were there any times during the simulation in which you just wanted to give up?","To what extent did you feel motivated while fulfilling the tasks?","To what extent did you find the simulation tasks easy?","To what extent did you feel like you were making progress? ","How well do you think you performed fulfilling the tasks?","To what extent did you feel emotionally attached to the simulation?","To what extent were you interested in seeing how the simulations events would progress?","How much did you want to fulfill all of the tasks?","At any point did you find yourself become so involved that you wanted to speak to the simulation directly?","To what extent did you enjoy the graphics and the imagery?","How much would you say you enjoyed the simulation?","Would you like to use the simulation again?"
"2019/11/19 4:54:27 PM PST","30481","4","4","4","4","1","1","1","3","3","3","2","2","2","1","3","4","3","4","4","1","0","0","2","3","3","3","3","2","0","1","4","4","4","4","3","2","3","2","3","2","3","2","2","1","1","2","3","1","3","2","3","2","1","3","4","2","3","4","4"
"2019/11/19 5:10:08 PM PST","14210","3","3","4","3","0","0","0","0","1","0","1","4","2","0","2","4","4","3","4","0","1","1","1","1","3","4","3","3","0","3","3","3","4","4","1","3","1","3","3","3","4","","4","4","3","3","3","1","3","2","4","3","3","3","3","3","4","4","4"
"2019/11/19 5:22:40 PM PST","21748","3","3","4","3","0","3","1","2","2","2","1","3","0","1","1","3","4","4","3","0","1","1","3","3","3","3","2","1","0","2","3","3","4","3","2","2","3","1","1","0","3","3","2","2","4","3","2","0","3","2","3","3","3","4","4","4","3","4","4"
"2019/11/19 5:34:36 PM PST","26432","4","4","4","4","0","0","1","2","3","3","3","3","1","0","2","3","2","4","1","0","0","0","3","4","4","4","4","2","2","3","4","4","4","4","3","2","4","2","1","1","3","3","3","3","2","3","4","0","3","0","1","1","3","3","4","3","3","4","4"
"2019/11/19 5:42:35 PM PST","41680","3","3","2","3","0","2","1","2","2","3","2","4","1","1","2","2","2","3","4","0","0","0","0","3","2","2","3","2","0","1","3","3","3","3","2","1","2","2","1","0","2","2","2","2","3","3","2","0","3","2","3","2","2","3","3","1","3","3","3"
"2019/11/19 6:02:01 PM PST","47103","4","4","4","4","0","1","0","2","3","3","3","4","1","0","3","2","3","4","3","1","1","0","1","3","4","3","2","2","1","4","4","4","4","3","3","2","4","2","3","0","4","3","3","4","1","3","3","0","3","1","2","2","1","3","4","2","3","4","4"
"2019/11/19 6:21:05 PM PST","84762","4","4","4","4","0","0","0","4","0","3","4","4","3","0","4","4","3","4","4","0","4","0","3","4","4","4","4","4","0","2","4","4","3","4","4","0","3","0","0","0","4","4","4","4","2","2","3","0","3","2","3","3","2","3","4","4","4","4","4"
"2019/11/19 6:31:45 PM PST","72890","3","4","3","4","1","0","2","3","2","2","1","3","2","1","3","1","1","3","2","1","1","1","2","3","3","2","2","3","1","3","3","4","3","3","2","2","3","3","1","0","3","2","3","2","1","2","3","1","3","2","3","2","1","2","4","0","2","3","3"
"2019/11/20 4:51:06 PM PST","10652","3","4","4","4","0","2","1","3","1","3","2","3","1","0","2","1","2","4","3","0","1","0","3","3","4","3","4","3","0","2","4","4","4","3","3","2","2","1","1","0","4","3","2","3","2","3","3","0","3","3","3","3","2","3","4","2","3","4","4"
"2019/11/20 4:58:38 PM PST","26296","3","3","4","4","0","1","1","3","2","2","3","3","2","0","3","2","2","4","3","0","0","0","3","3","3","3","3","3","0","1","4","4","3","4","4","1","4","1","1","0","3","3","3","3","2","1","0","0","3","3","4","3","2","4","4","0","1","4","4"
