"Timestamp","Unique ID","","What is your age? ......","Which region do you live in (outside of work/school place)?","Please enter your gender (sex)","To which racial or ethnic group(s) do you most identify?","What is the highest degree or level of school you have completed?","Employment Status: Are you currently…?","Your marital status is ....","What is your annual household income?","Do you have experience with any kind of VR device?"
"2019/11/19 4:34:49 PM PST","30481","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Caucasian (non-Hispanic)","Some college credit, no degree","A student (no other job)","Single (never married)","Over $100,000","2"
"2019/11/19 4:42:45 PM PST","14210","Agree","25-28 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Asian/Pacific Islanders","Some college credit, no degree","A student (no other job)","Single (never married)","Less than $20,000","0"
"2019/11/19 4:58:41 PM PST","41680","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Caucasian (non-Hispanic)","Some college credit, no degree","A student (with job)","Single (never married)","Less than $20,000","1"
"2019/11/19 5:00:45 PM PST","21748","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Caucasian (non-Hispanic)","Some college credit, no degree","A student (no other job)","Single (never married)","Less than $20,000","0"
"2019/11/19 5:16:53 PM PST","26432","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Female","Caucasian (non-Hispanic)","Some college credit, no degree","A student (no other job)","Single (never married)","Over $100,000","1"
"2019/11/19 5:46:08 PM PST","47103","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Asian/Pacific Islanders","Some college credit, no degree","A student (no other job)","Single (never married)","Less than $20,000","1"
"2019/11/19 6:03:58 PM PST","84762","Agree","22-24 years old","USA Southwest - AZ, NM, OK, TX","Male","Caucasian (non-Hispanic)","Some college credit, no degree","A student (no other job)","Single (never married)","Over $100,000","1"
"2019/11/19 6:14:17 PM PST","72890","Agree","22-24 years old","USA Northeast - CT, DC, DE, MA, MD, ME, NH, NJ, NY, PA, RI, VT","Male","Caucasian (non-Hispanic)","Some college credit, no degree","A student (with job)","Single (never married)","Less than $20,000","0"
"2019/11/20 4:30:03 PM PST","10652","Agree","18-21 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Male","Other","Some college credit, no degree","A student (with job)","Single (never married)","Over $100,000","1"
"2019/11/20 4:36:20 PM PST","26296","Agree","22-24 years old","USA West - AK, CA, CO, HI, ID, MT, NV, OR, UT, WA, WY","Female","Asian/Pacific Islanders","High school graduate, diploma or the equivalent","A student (no other job)","Single (never married)","Over $100,000","0"
